DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Banská;Banská;976 32;Badín;Badín;;Badín
Borovicová;Borovicová;976 32;Badín;Badín;;Badín
Drustevná;Drustevná;976 32;Badín;Badín;;Badín
Hliny;Hliny;976 32;Badín;Badín;;Badín
Krèméryho;Krèméryho;976 32;Badín;Badín;;Badín
Kriedovnica;Kriedovnica;974 05;Banská Bystrica 5;Banská Bystrica 5;;Badín
L. Svobodu;L. Svobodu;976 32;Badín;Badín;;Badín
Laurínska;Laurínska;976 32;Badín;Badín;;Badín
Nová;Nová;976 32;Badín;Badín;;Badín
Oslobodite¾ov;Oslobodite¾ov;976 32;Badín;Badín;;Badín
Pod Hrádkom;Pod Hrádkom;976 32;Badín;Badín;;Badín
Pod vàškom;Pod vàškom;976 32;Badín;Badín;;Badín
Sládkovièova;Sládkovièova;976 32;Badín;Badín;;Badín
SNP;SNP;976 32;Badín;Badín;;Badín
Tajovského;Tajovského;976 32;Badín;Badín;;Badín
Záhradná;Záhradná;976 32;Badín;Badín;;Badín
5. apríla;5. apríla;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
9. mája;9. mája;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Alexandra Dubèeka;Alexandra Dubèeka;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Andreja Hlinku;Andreja Hlinku;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Andreja Kmea;A. Kmea;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Bernolákova;Bernolákova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Cibislavská;Cibislavská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Cintorínska;Cintorínska;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Clementisova;Clementisova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Cyrila a Metoda;Cyrila a Metoda;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Drustevná;Drustevná;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Duklianska;Duklianska;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Farská;Farská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Ferka Urbánka;Ferka Urbánka;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Gorazdova;Gorazdova;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Heèkova;Heèkova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Hollého;Hollého;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Hreïovská;Hreïovská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Husitská;Husitská;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Hviezdoslavova;Hviezdoslavova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Inovecká;Inovecká;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Ivana Krasku;Ivana Krasku;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
J. Bottu;J. Bottu;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
J. C. Hronského;J. C. Hronského;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
J. G. Tajovského;J. G. Tajovského;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
J. Gabora;J. Gabora;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
J. Kaèku;J. Kaèku;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Jahodová;Jahodová;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Janka Krá¾a;Janka Krá¾a;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Janka Matušku;Janka Matušku;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Jerichov;Jerichov;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Jesenského;Jesenského;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
K cintorínu;K cintorínu;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
K mlynskému náhonu;K mlynskému náhonu;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
K nemocnici;K nemocnici;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
K priehrade;K priehrade;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
K štadiónu;K štadiónu;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
K Zornici;K Zornici;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Komenského;Komenského;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
kpt. Jaroša;kpt. Jaroša;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Kraskova;Kraskova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Ku splavu;Ku splavu;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Kukuèínova;Kukuèínova;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Lipová;Lipová;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Lúèna;Lúèna;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
¼udmily Podjavorinskej;¼udmily Podjavorinskej;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
M. R. Štefánika;M. R. Štefánika;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Matice Slovenskej;Matice Slovenskej;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Matušku;Matušku;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Mila Urbana;Mila Urbana;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Mlynská;Mlynská;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Mojmírova;Mojmírova;957 04;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
Moyzesova;Moyzesova;957 01;Bánovce nad Bebravou 1;Bánovce nad Beb. 1;;Bánovce nad Bebravou
